DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G,IND_0,IND_1,IND_4,IND.1_0.0,IND.1_1.0,IND.1_2.0,IND.1_4.0,IND.2_0.0,IND.2_1.0,IND.2_2.0,IND.2_3.0,IND.2_4.0
1966-06-28,0.36615080671715505,0.0,0.752308430267418,0.7767085839256425,0.7594531083101901,1,0,0,1,0,0,0,1,0,0,0,0
1966-06-29,0.1468554494567007,0.0,0.7530879002278449,0.7810825587752871,0.7645802179021576,1,0,0,1,0,0,0,1,0,0,0,0
1966-06-30,0.21139282186368127,0.016417910447761194,0.753867370188272,0.7854565336249317,0.7697073274941251,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-01,0.12216002634178466,0.0,0.7546468401486988,0.7898305084745763,0.7748344370860927,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-02,0.1590385248600593,0.019402985074626865,0.7397769516728624,0.7694915254237288,0.7086092715231787,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-03,0.09483042476127758,0.0,0.6542750929368029,0.7457627118644068,0.73841059602649,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-04,0.048073756997036546,0.11194029850746269,0.7174721189591077,0.7694915254237288,0.748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-05,0.05367138623641751,0.08507462686567165,0.6171003717472118,0.7966101694915255,0.7251655629139072,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-06,0.2291735265064208,0.0029850746268656717,0.6356877323420074,0.735593220338983,0.6754966887417218,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-07,0.22357589726703986,0.0,0.7397769516728624,0.7966101694915255,0.8344370860927152,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-08,0.19196575567994734,0.0,0.7657992565055761,0.8711864406779661,0.9072847682119204,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-09,0.2525518603885413,0.0626865671641791,0.6691449814126392,0.8305084745762712,0.6920529801324502,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-10,0.24695423114916037,0.050746268656716415,0.6133828996282527,0.7864406779661017,0.8278145695364237,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-11,0.2495884096147514,0.0029850746268656717,0.7323420074349442,0.728813559322034,0.7086092715231787,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-12,0.45406651300625617,0.0,0.7472118959107806,0.8813559322033899,0.943708609271523,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-13,0.48831083305893974,0.0029850746268656717,0.7137546468401487,0.8305084745762712,0.8576158940397349,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-14,0.33190648666447153,0.029850746268656716,0.6728624535315985,0.7457627118644068,0.7417218543046357,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-15,0.3375041159038525,0.025373134328358207,0.7174721189591077,0.7796610169491526,0.7582781456953641,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-16,0.20316101415870924,0.008955223880597014,0.691449814126394,0.7830508474576271,0.8013245033112582,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-17,0.15640434639446824,0.008955223880597014,0.6654275092936802,0.6542372881355932,0.5662251655629138,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-18,0.0454395785314455,0.0,0.7323420074349442,0.6271186440677966,0.5264900662251655,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-19,0.17978268027658875,0.0,0.8066914498141263,0.6338983050847458,0.519867549668874,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-20,0.3088574250905499,0.0,0.8513011152416357,0.7864406779661017,0.7417218543046357,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-21,0.2360882449785973,0.0,0.8810408921933085,0.847457627118644,0.8410596026490065,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-22,0.2565031280869279,0.004477611940298507,0.8438661710037174,0.728813559322034,0.6258278145695364,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-23,0.43496871913072116,0.0208955223880597,0.7657992565055761,0.8169491525423729,0.9139072847682117,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-24,0.4102732960158051,0.017910447761194027,0.6505576208178437,0.8372881355932204,0.8907284768211919,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-25,0.3101745143233454,0.0,0.6542750929368029,0.6813559322033899,0.6556291390728476,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-26,0.330589397431676,0.011940298507462687,0.6356877323420074,0.7966101694915255,0.8410596026490065,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-27,0.17978268027658875,0.0,0.6654275092936802,0.8135593220338984,0.6258278145695364,0,0,1,1,0,0,0,1,0,0,0,0
1966-07-28,0.36911425749094506,0.05373134328358209,0.6728624535315985,0.7966101694915255,0.8675496688741722,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-29,0.352650642081001,0.03134328358208955,0.6505576208178437,0.7627118644067796,0.7582781456953641,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-30,0.4336516298979256,0.0014925373134328358,0.5427509293680297,0.7796610169491526,0.7582781456953641,1,0,0,1,0,0,0,1,0,0,0,0
1966-07-31,0.1096476786302272,0.050746268656716415,0.5650557620817843,0.7050847457627119,0.7119205298013244,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-01,0.17813631873559435,0.0,0.691449814126394,0.6610169491525424,0.6721854304635762,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-02,0.17813631873559435,0.08059701492537313,0.6356877323420074,0.5966101694915255,0.5596026490066225,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-03,0.2331247942048074,0.0029850746268656717,0.6877323420074348,0.7966101694915255,0.8576158940397349,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-04,0.35001646361541,0.0,0.6877323420074348,0.6813559322033899,0.6721854304635762,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-05,0.31280869278893647,0.013432835820895522,0.691449814126394,0.6949152542372882,0.6821192052980132,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-06,0.10437932169904511,0.007462686567164179,0.6022304832713754,0.6779661016949152,0.6423841059602649,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-07,0.19196575567994734,0.0,0.7137546468401487,0.7661016949152543,0.7913907284768211,0,0,1,1,0,0,0,1,0,0,0,0
1966-08-08,0.2716496542640764,0.11940298507462686,0.6579925650557621,0.6745762711864407,0.6258278145695364,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-09,0.4211392821863681,0.017910447761194027,0.6579925650557621,0.6745762711864407,0.6026490066225165,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-10,0.5749094501152453,0.0014925373134328358,0.7397769516728624,0.7966101694915255,0.824503311258278,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-11,0.28251564043463945,0.004477611940298507,0.7472118959107806,0.6338983050847458,0.889072847682119,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-12,0.21534408956206783,0.23283582089552238,0.7472118959107806,0.8508474576271187,0.9536423841059601,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-13,0.3184063220283174,0.08208955223880597,0.6654275092936802,0.8305084745762712,0.8907284768211919,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-14,0.09483042476127758,0.03880597014925373,0.6282527881040891,0.7220338983050848,0.6754966887417218,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-15,0.13730655251893314,0.0,0.7472118959107806,0.5932203389830508,0.4933774834437085,1,0,0,0,0,1,0,1,0,0,0,0
1966-08-16,0.29206453737240695,0.0,0.8587360594795538,0.688135593220339,0.5993377483443708,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-17,0.23049061573921634,0.0029850746268656717,0.7472118959107806,0.9593220338983051,0.9735099337748343,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-18,0.1014158709252552,0.0,0.7100371747211895,0.8169491525423729,0.8460264900662251,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-19,0.15245307869608166,0.007462686567164179,0.8029739776951672,0.8237288135593221,0.7185430463576158,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-20,0.11392821863681264,0.029850746268656716,0.5799256505576208,0.8135593220338984,0.7748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-21,0.2785643727362529,0.05373134328358209,0.620817843866171,0.7864406779661017,0.7748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-22,0.21666117879486335,0.0,0.5724907063197026,0.7966101694915255,0.8576158940397349,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-23,0.10569641093184064,0.0,0.591078066914498,0.5593220338983051,0.4933774834437085,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-24,0.16759960487323017,0.0,0.7881040892193308,0.6271186440677966,0.509933774834437,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-25,0.21007573263088575,0.0,0.6394052044609665,0.6440677966101696,0.5132450331125827,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-26,0.3019427066183734,0.0,0.620817843866171,0.8,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-27,0.26901547579848534,0.0,0.6394052044609665,0.864406779661017,0.6821192052980132,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-28,0.29502798814619696,0.050746268656716415,0.7137546468401487,0.847457627118644,0.7086092715231787,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-29,0.3375041159038525,0.0208955223880597,0.6542750929368029,0.8813559322033899,0.8874172185430462,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-30,0.21666117879486335,0.011940298507462687,0.6802973977695166,0.8372881355932204,0.7284768211920529,1,0,0,1,0,0,0,1,0,0,0,0
1966-08-31,0.20184392492591374,0.0,0.728624535315985,0.8305084745762712,0.7913907284768211,0,0,1,1,0,0,0,1,0,0,0,0
1966-09-01,0.2509054988475469,0.05970149253731343,0.8215613382899627,0.8779661016949153,0.8609271523178808,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-02,0.4115903852486006,0.004477611940298507,0.7397769516728624,0.8440677966101695,0.8410596026490065,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-03,0.47316430688179123,0.23283582089552238,0.6951672862453532,0.7966101694915255,0.7417218543046357,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-04,0.48304247612775764,0.004477611940298507,0.7174721189591077,0.864406779661017,0.9072847682119204,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-05,0.5159697069476457,0.0,0.8178438661710036,0.840677966101695,0.7880794701986754,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-06,0.5393480408297662,0.0,0.7100371747211895,0.8610169491525423,0.7880794701986754,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-07,0.22225880803424433,0.0,0.6951672862453532,0.8135593220338984,0.7748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1966-09-08,0.12611129404017124,0.0,0.6654275092936802,0.6271186440677966,0.5264900662251655,1,0,0,1,0,0,0,1,0,0,0,0
