DATE,WIND,RAIN,T.MAX,T.MIN,T.MIN.G,IND_0,IND_1,IND_4,IND.1_0.0,IND.1_1.0,IND.1_2.0,IND.1_4.0,IND.2_0.0,IND.2_1.0,IND.2_2.0,IND.2_3.0,IND.2_4.0
1964-04-26,0.23740533421139282,0.035820895522388055,0.5464684014869887,0.7322033898305085,0.6092715231788078,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-27,0.3760289759631215,0.03731343283582089,0.5353159851301115,0.7186440677966102,0.7615894039735098,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-28,0.382943694435298,0.08656716417910447,0.5799256505576208,0.7084745762711865,0.7317880794701985,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-29,0.49687191307211065,0.0417910447761194,0.5315985130111524,0.6508474576271186,0.6655629139072847,1,0,0,1,0,0,0,1,0,0,0,0
1964-04-30,0.4774448468883767,0.050746268656716415,0.5130111524163568,0.6169491525423729,0.6357615894039734,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-01,0.36483371748435955,0.06716417910447761,0.5241635687732341,0.5932203389830508,0.586092715231788,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-02,0.322357589726704,0.016417910447761194,0.620817843866171,0.6711864406779662,0.7317880794701985,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-03,0.661178794863352,0.050746268656716415,0.5613382899628252,0.6779661016949152,0.6556291390728476,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-04,0.639117550214027,0.03283582089552239,0.5873605947955389,0.6440677966101696,0.662251655629139,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-05,0.5116891669410603,0.0,0.5613382899628252,0.6101694915254238,0.6225165562913907,1,0,0,0,0,1,0,1,0,0,0,0
1964-05-06,0.3210405004939085,0.014925373134328358,0.5650557620817843,0.728813559322034,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-07,0.5485676654593349,0.05373134328358209,0.5873605947955389,0.7457627118644068,0.7350993377483444,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-08,0.6486664471517946,0.04776119402985075,0.5501858736059478,0.6101694915254238,0.6225165562913907,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-09,0.5255186038854133,0.09402985074626866,0.5427509293680297,0.7152542372881356,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-10,0.5242015146526178,0.08955223880597014,0.5390334572490706,0.6338983050847458,0.619205298013245,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-11,0.4952255515311162,0.0,0.6617100371747211,0.688135593220339,0.7417218543046357,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-12,0.47316430688179123,0.0,0.6840148698884758,0.7864406779661017,0.7880794701986754,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-13,0.37998024366150807,0.0,0.5836431226765798,0.6135593220338983,0.586092715231788,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-14,0.32663812973328943,0.0,0.6022304832713754,0.5627118644067797,0.5562913907284768,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-15,0.17286796180441225,0.0,0.6877323420074348,0.5593220338983051,0.5331125827814569,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-16,0.18636812644056636,0.0,0.7509293680297398,0.6711864406779662,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-17,0.2331247942048074,0.007462686567164179,0.6617100371747211,0.6406779661016949,0.5894039735099337,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-18,0.44320052683569316,0.005970149253731343,0.6840148698884758,0.7966101694915255,0.8013245033112582,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-19,0.2413566019097794,0.05671641791044776,0.5650557620817843,0.6338983050847458,0.6125827814569536,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-20,0.24827132038195587,0.011940298507462687,0.5687732342007434,0.5864406779661017,0.5529801324503311,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-21,0.2291735265064208,0.0,0.6282527881040891,0.7898305084745763,0.7847682119205297,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-22,0.352650642081001,0.01044776119402985,0.4758364312267657,0.7050847457627119,0.7251655629139072,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-23,0.3595653605531775,0.0,0.6133828996282527,0.6508474576271186,0.6523178807947019,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-24,0.36483371748435955,0.0,0.6802973977695166,0.735593220338983,0.7417218543046357,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-25,0.37174843595653606,0.0,0.6988847583643122,0.7491525423728813,0.7748344370860927,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-26,0.20184392492591374,0.0,0.7249070631970259,0.6135593220338983,0.5794701986754967,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-27,0.29206453737240695,0.0,0.7100371747211895,0.728813559322034,0.6688741721854303,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-28,0.34705301284162,0.007462686567164179,0.5613382899628252,0.7627118644067796,0.7847682119205297,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-29,0.26901547579848534,0.0,0.7026022304832713,0.7796610169491526,0.8476821192052979,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-30,0.1014158709252552,0.0417910447761194,0.691449814126394,0.5966101694915255,0.5827814569536423,1,0,0,1,0,0,0,1,0,0,0,0
1964-05-31,0.44583470530128416,0.004477611940298507,0.5799256505576208,0.7830508474576271,0.7317880794701985,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-01,0.5719459993414554,0.04477611940298507,0.4052044609665427,0.7084745762711865,0.7649006622516554,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-02,0.35133355284820544,0.0208955223880597,0.4275092936802974,0.6169491525423729,0.6788079470198675,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-03,0.2525518603885413,0.05671641791044776,0.6022304832713754,0.6338983050847458,0.6423841059602649,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-04,0.5103720777082648,0.005970149253731343,0.6877323420074348,0.711864406779661,0.7913907284768211,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-05,0.36615080671715505,0.014925373134328358,0.6840148698884758,0.8033898305084746,0.7880794701986754,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-06,0.2716496542640764,0.0626865671641791,0.5427509293680297,0.7661016949152543,0.6821192052980132,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-07,0.330589397431676,0.005970149253731343,0.6840148698884758,0.7796610169491526,0.8178807947019866,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-08,0.352650642081001,0.004477611940298507,0.6728624535315985,0.711864406779661,0.7119205298013244,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-09,0.28251564043463945,0.08805970149253732,0.6431226765799255,0.8169491525423729,0.8311258278145695,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-10,0.316759960487323,0.10149253731343283,0.7137546468401487,0.7830508474576271,0.7317880794701985,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-11,0.36911425749094506,0.005970149253731343,0.7100371747211895,0.7694915254237288,0.7847682119205297,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-12,0.22225880803424433,0.11044776119402985,0.6282527881040891,0.8067796610169492,0.8443708609271522,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-13,0.2841620019756339,0.0,0.6765799256505576,0.7491525423728813,0.7185430463576158,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-14,0.43628580836351666,0.019402985074626865,0.6022304832713754,0.6338983050847458,0.619205298013245,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-15,0.5060915377016793,0.0,0.6171003717472118,0.6677966101694914,0.6589403973509933,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-16,0.43496871913072116,0.0014925373134328358,0.7174721189591077,0.7186440677966102,0.7251655629139072,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-17,0.20316101415870924,0.05970149253731343,0.6096654275092936,0.7457627118644068,0.7582781456953641,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-18,0.19459993414553836,0.0,0.6468401486988847,0.6745762711864407,0.6324503311258277,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-19,0.43628580836351666,0.0,0.5613382899628252,0.6033898305084746,0.5695364238410595,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-20,0.3375041159038525,0.0,0.6096654275092936,0.5389830508474577,0.5364238410596026,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-21,0.29502798814619696,0.0029850746268656717,0.7211895910780669,0.5389830508474577,0.5391765004426763,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-22,0.12084293710898913,0.017910447761194027,0.5427509293680297,0.7457627118644068,0.7582781456953641,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-23,0.15245307869608166,0.019402985074626865,0.5985130111524163,0.7186440677966102,0.8178807947019866,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-24,0.14125782021731972,0.0,0.7509293680297398,0.6305084745762712,0.5894039735099337,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-25,0.12907474481396114,0.0,0.7323420074349442,0.7491525423728813,0.7119205298013244,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-26,0.2634178465591044,0.035820895522388055,0.8141263940520446,0.7491525423728813,0.7450331125827814,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-27,0.3427724728350346,0.03134328358208955,0.6988847583643122,0.8440677966101695,0.8973509933774833,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-28,0.17155087257161672,0.0,0.6431226765799255,0.8305084745762712,0.8940397350993377,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-29,0.2937108989134014,0.0,0.7472118959107806,0.688135593220339,0.6655629139072847,1,0,0,1,0,0,0,1,0,0,0,0
1964-06-30,0.4899571945999342,0.0,0.7695167286245352,0.8135593220338984,0.8079470198675496,1,0,0,1,0,0,0,1,0,0,0,0
1964-07-01,0.26078366809351333,0.0,0.7546468401486988,0.7966101694915255,0.7980132450331124,1,0,0,1,0,0,0,1,0,0,0,0
1964-07-02,0.324991768192295,0.0,0.6765799256505576,0.8203389830508474,0.8543046357615893,1,0,0,1,0,0,0,1,0,0,0,0
1964-07-03,0.21666117879486335,0.0,0.6171003717472118,0.7728813559322034,0.8278145695364237,1,0,0,1,0,0,0,1,0,0,0,0
